Player,Transfer,dt(KDA),dt(WR),dt(KPAR)
Aiming,1,0.5528130035926067,0.6967670011148286,8.669927536231882
Bdd,1,2.9476969603189693,-34.646416706217366,-1.739819648789748
Ben,1,-0.9128276437468457,15.166393889798151,-3.330469176213846
BeryL,0,1.0834867562660637,-11.5625,-4.818125000000009
Chovy,1,-2.218083579987269,4.503367003367,2.7822811447811446
Clid,1,-0.11729057099453222,3.2012805122048817,-3.823669467787127
Cover,0,-0.7905308280028436,12.705882352941174,-4.754235294117649
CuVee,1,-0.6321822398756816,14.82683982683983,0.2431277056277139
Cuzz,1,2.3125886582263946,-10.508241758241759,0.5336401098901149
Deft,0,0.3499815498325889,-6.573056573056576,-3.86803011803012
Dove,0,-1.346886284789759,24.164759725400458,-6.357574370709386
Effort,0,-1.487678777344156,9.414893617021278,2.368404255319149
Faker,0,1.378857394110668,5.044091710758373,5.983527336860675
Flawless,1,-0.9593133883720011,24.73873873873874,-3.611315315315281
GorillA,1,0.28848485681655367,-2.564102564102569,-1.7512820512820468
Haru,1,-1.8234067919101284,-7.786885245901644,-13.447131147541
Hoit,0,-1.0413170345917955,13.151364764267989,-4.569478908188572
Ikssu,0,-1.7372609618727173,39.69221835075492,3.1909698025551805
KaKAO,1,-0.18019374213375183,-5.412438199323443,-2.8083528493364867
Key,1,1.5425688899682952,-28.323128579893346,0.8073671736124624
Khan,1,-0.5107900634738258,18.74749096748294,-1.5050782818145194
Kiin,0,-0.23082603293184967,-0.5960729312762965,3.0420991117344514
Kingen,1,-1.1372508637875582,-1.7463617463617496,2.906361746361746
Kuro,1,-0.6969792405153568,7.303732303732303,2.09681467181467
Kuzan,1,-1.2931291379230414,12.360553324408755,-1.5194109772422877
Lava,0,-0.47099944794780857,10.090909090909093,-7.452909090909088
Lehends,1,-3.7387894464496756,40.58254963427376,5.3995950888192255
Malrang,1,-0.5033773626376361,-19.887005649717523,-1.325649717514139
Mata,1,-1.9387473307900864,38.48484848484848,5.542121212121231
MooJin,1,1.1230407428875044,-19.444444444444443,-19.604166666666657
Mystic,1,-0.8458000790908251,7.986638323716974,-2.097342848466454
Naehyun,1,0.4484024742148405,4.5351473922902485,-1.5241496598639657
Nuclear,0,-1.434366926862317,15.139116202945978,-3.194599018003302
Nuguri,0,0.8192155754964721,-7.248108323377146,-2.893269613699708
OnFleek,0,-0.37250152000419323,22.95474977524723,5.090230746179202
Peanut,1,0.8031246409488033,-1.943734015345271,6.784616368286422
PraY,1,1.2325161920626613,-11.462450592885375,15.294268774703546
Punch,1,-0.07415796618536286,13.333333333333336,1.173333333333332
Rascal,1,1.0272261724658125,-10.125588697017271,0.9342229199371914
Ray,1,-1.412457285480003,19.298245614035075,-12.409649122807025
Roach,1,-1.9354958278939303,-5.172413793103445,-4.776724137931026
Route,1,1.2426000867666724,-27.98009950248757,1.70413930348262
Ruler,0,1.682839806266216,-22.91280148423006,-10.35514842300556
Sangyoon,1,2.1730267706570032,-26.402753872633394,4.121617900172126
Score,1,3.6113888082692744,-33.650793650793645,-0.017777777777766346
Secret,0,-1.5679726093756563,36.81592039800994,-2.0313432835821033
SeongHwan,1,-0.36344417251525263,3.482587064676622,7.3686567164179095
ShowMaker,0,4.06325507544978,-9.847198641765715,-0.769303904923575
Smeb,1,0.8630918035288169,-18.843537414965986,5.965306122448972
SnowFlower,1,2.725441760281017,-39.355992844364934,4.680500894454383
SoHwan,1,-0.4461934684512969,-8.003857280617154,-0.5877049180327916
Spirit,1,1.246133178873711,-20.761904761904766,-3.592857142857156
Sword,0,-1.616214160826654,36.5934065934066,5.99148351648352
Teddy,0,-0.38333263013462027,2.102987421383645,8.077319182389957
Tempt,0,-2.4139380558599486,12.820512820512825,-1.8051282051281987
Thal,1,1.4584203804178881,-25.71428571428572,2.8412244897958914
TusiN,1,-0.6604600546959447,11.115321460149048,5.064784640646721
Ucal,1,0.028161384499928666,9.382099045888232,2.7682417083143918
UmTi,1,2.4055325782218153,-25.92885375494071,4.184743083003937
Untara,1,-1.789473684210526,-10.101010101010104,-8.712121212121218
