Player,Transfer,dt(KDA),dt(WR),dt(KPAR)
Aiming,0,-0.8327980507193233,-14.468864468864467,-1.978571428571442
Bdd,1,-2.9068404739766502,-37.70764119601329,3.6121901354459425
Chovy,0,-1.9594566353808585,4.201902748414369,-5.6908298097251375
CuVee,0,-0.1488788750697041,-8.465085638998673,-4.5256587615283195
Cuzz,0,0.9563587077569626,-2.8693528693528734,3.412332112332109
Deft,1,-0.17442796329528676,-6.40470640470641,5.93890553890553
Effort,0,1.834885610669771,24.95762711864407,-8.889067796610178
Faker,0,0.26588763797917414,24.32234432234433,-16.289890109890095
Haru,1,1.4849390919158365,-32.14285714285713,13.540714285714287
Key,0,-0.8540609650238222,-10.053547523427042,-2.7115930388219596
Khan,0,-0.431207179974225,-1.7936175168879487,-0.8789774050780466
Kiin,0,-1.2251428514493101,-16.755537325676784,-3.5869155045119
Kingen,0,2.3676037909784045,45.945945945945944,-41.95405405405406
Kuzan,1,4.064182194616977,47.368421052631575,37.74736842105263
Lava,0,-0.940667522471482,-19.318181818181813,-3.6852272727272606
Lehends,0,1.0722151655429801,4.612299465240639,-4.9136586452763
Lindarang,1,-1.2839798667315387,-39.72222222222222,-4.644087301587305
Mata,1,-0.8333400116822363,0.5050505050505052,-4.195454545454567
PawN,0,0.47433311155749713,9.672619047619037,-9.87247023809526
Peanut,0,-3.3827457304005066,-28.090249798549557,-6.671200644641388
PraY,1,-3.3267795963066638,-35.064935064935064,-6.8327422577422325
Rascal,0,-4.494077092129658,-11.758241758241759,-3.041978021978025
Roach,1,2.3334944707645047,22.87636669470143,6.395626576955422
Ruler,0,0.859280005051879,-9.384164222873899,5.842497556207235
Sangyoon,0,-0.6583777239335937,-10.053547523427042,-1.1836813922356129
Score,0,-1.515723686485094,-30.59660645867543,-3.961795292829791
SeongHwan,0,-0.824912757732319,-20.075757575757578,-14.601136363636364
Smeb,0,-2.272643590793188,-40.816326530612244,-8.780612244897952
SoHwan,1,0.31687517925143727,4.097818902842036,-0.7342696629213492
Spirit,0,-1.9362520553444242,-33.15696649029982,5.397795414462067
Sword,0,-0.21081906345791435,7.601809954751133,-11.289592760181002
Teddy,1,3.5589220978591287,32.73266906932373,-10.005713377146492
Tempt,1,1.919967503989894,21.396993810786917,1.4497789566755017
Thal,0,0.07138561336597382,-7.142857142857146,3.8735499462943253
TusiN,1,-0.03529806948204328,-3.078996475222894,-3.732915198009536
Ucal,1,-1.1709857490456521,-20.685305865040995,-0.8088290939667786
UmTi,1,-0.39141874118093556,-8.38874680306905,-7.1074168797953945
Yaharong,0,-1.4185800775026696,-27.976190476190474,-3.0764087301587324
