Player,Transfer,dt(KDA),dt(WR),dt(KPAR)
Aiming,1,1.4836436808431905,3.2960738425281875,8.669927536231882
Bdd,1,5.918479903696207,69.22966478661097,-1.739819648789748
Chovy,1,-4.606188615488103,-9.352815628451395,2.7822811447811446
CuVee,1,-1.6274083469898422,-43.01226551226551,0.2431277056277139
Cuzz,1,4.511562542091555,20.551378446115294,0.5336401098901149
Deft,0,0.6684985571199356,13.007432818753571,-3.86803011803012
Effort,0,2.4932906787010953,58.204514363885096,2.368404255319149
Faker,0,2.3389068393766,-14.017825311942943,5.983527336860675
Haru,1,0.008009355279996022,31.52777777777778,-13.447131147541
Key,1,-1.2387662267960007,-27.966995741385993,2.048350780169841
Khan,1,-3.037700627862997,-83.54365079365078,11.275982060006179
Kiin,0,-0.4376972648344486,2.5803376876426682,3.0420991117344514
Kingen,1,-1.4555654225001984,1.7789795773144448,3.7809357744841634
Kuzan,1,-1.2253311490303536,-11.004784688995208,0.3230861244019252
Lava,0,-0.8565033793925325,-15.584415584415595,-7.452909090909088
Lehends,1,-7.575618583933131,-82.20151828847482,5.3995950888192255
Mata,1,-2.3022232549137227,-54.67460317460318,7.1931556948798345
Peanut,1,-1.1693101650052613,-35.635800513849304,6.747897227856626
PraY,1,2.419777505656646,20.461760461760456,15.25754963427375
Rascal,1,2.0165489242936774,19.87901543596162,0.9342229199371914
Roach,1,-7.879808434059999,-65.0,-4.776724137931026
Ruler,0,3.3593711348818864,45.636591193537384,-10.35514842300556
Sangyoon,1,4.715433309521432,52.05090858346452,-0.10879026309318363
Score,1,7.580202354956132,67.259967816914,-4.248185941043076
SeongHwan,1,10.4749239903814,103.21234876929496,6.015306122448983
Smeb,1,-0.7819298537595429,-4.252873563218387,5.965306122448972
SoHwan,1,0.32725646581392187,10.997950637084571,-0.5877049180327916
Spirit,1,4.701876098480087,69.26406926406926,-3.592857142857156
Sword,0,-5.424781280600954,-107.66045548654245,5.99148351648352
Teddy,0,-0.775012750025553,-5.0387488328664745,8.077319182389957
Tempt,0,-7.780174967072805,-64.4331983805668,-1.8051282051281987
Thal,1,-2.2542302606514237,-34.61538461538461,5.757927786499195
TusiN,1,-1.441749392513339,-23.54099534550663,5.064784640646721
Ucal,1,0.5104680822203171,-7.122242836528542,2.7682417083143918
UmTi,1,1.0441802731953072,13.347763347763362,0.6117812061711021
