player,18sp_KDA,18sp_KPAR,18sp_WR,18su_KDA,18su_KPAR,18su_WR,19sp_KDA,19sp_KPAR,19sp_WR,19su_KDA,19su_KPAR,19su_WR,20sp_KDA,20sp_KPAR,20sp_WR,20su_KDA,20su_KPAR,20su_WR,2019_Preseason,2019_Midseason,2020_Preseason,2020_Midseason,2021_Preseason
Canna, , , , , , , , , , , , ,5.9987880624147865,68.4468085106383,72.34042553191489,5.04,61.544444444444444,64.44444444444443, , ,1,0,0
Canyon, , , , , , ,2.935275776798194,70.05588235294118,52.94117647058823,3.739079301075269,71.80000000000001,60.869565217391305,2.9905593580363465,67.3843137254902,50.980392156862756,6.895750624908102,66.38809523809525,88.0952380952381,0,0,0,0,0
CheonGo, , , , , , ,1.2413793103448276,56.111111111111114,0.0,1.2333333333333334,56.75,10.0, , , , , , ,1,0, , , 
Chovy, , , ,8.739225712198683,67.94651162790696,65.11627906976744,8.445788738948348,62.87857142857144,73.80952380952381,5.258620689655173,61.68695652173913,65.21739130434783,5.228165281291411,62.50363636363636,63.63636363636365,3.870055531824007,67.6679245283019,66.0377358490566,0,0,1,0,1
Clever, , , ,4.0,80.0,0.0, , , , , , , , , , , , ,0,1, , , 
Clid, , , , , , ,5.4559313959028115,74.322,74.0,4.9337508239947265,71.52307692307694,69.23076923076923,4.62394910247671,71.77234042553191,65.95744680851064,5.4857380803664375,66.58235294117647,70.58823529411764,1,0,1,0,0
Clozer, , , , , , , , , , , , , , , ,5.687364307425098,55.546666666666674,80.0, , , ,1,0
CoreJJ,3.4282823172274215,76.65744680851063,48.93617021276596,3.6862968591691994,75.05217391304348,60.869565217391305, , , , , , , , , , , , ,0, , , , 
Cover, , , , , , , , , , , , ,2.3859275053304905,58.983999999999995,52.0, , , , , ,0,0, 
Crown,2.397130957889866,73.56170212765957,48.93617021276596,3.0,73.56666666666666,66.66666666666666, , , , , , , , , , , , ,0, , ,0, 
Crush, , , , , , ,1.0,50.0,0.0, , , , , , , , , ,0,0, ,1, 
CuVee,2.071197119711971,64.57659574468086,48.93617021276596,2.9747531558555185,61.204444444444434,62.22222222222222,2.161128974633798,55.395833333333336,37.5,2.480358445347504,60.11904761904762,52.38095238095239,1.8777154366278233,59.63333333333334,37.77777777777778,1.1363636363636365,54.6,9.090909090909092,0,0,1,0,1
Cuzz,4.222222222222222,68.97999999999999,100.0,1.971142857142857,63.43846153846154,46.15384615384615,3.7892421515696864,63.5111111111111,66.66666666666667,3.3215006420840214,73.16304347826087,50.0,6.895900245607406,73.56666666666665,71.42857142857143,4.726405090137859,63.79210526315791,65.78947368421052,0,0,1,0,0
Deft,4.804988023108356,67.00980392156863,62.745098039215684,4.2882941405742505,65.96875,66.66666666666667,5.1832880770180205,72.77555555555556,66.66666666666667,3.594257425742575,72.1195652173913,50.0,5.101094045865769,68.52363636363637,63.63636363636365,4.3449500140147626,68.63018867924526,66.0377358490566,1,0,0,0,1
Deokdam, , , , , , , , , , , , , , , ,3.2264261909429526,67.2159090909091,36.36363636363637, ,1, ,0,0
