Player,Transfer,KDA,WR,KPAR,Team-Rank,Team-Pts
Aiming,1,4.4689389423066626,47.43589743589744,69.53333333333333,8,-12
Bdd,1,3.2183007577339233,33.72093023255814,71.64186046511628,8,-12
Chovy,1,6.779769076817825,69.31818181818181,62.25568181818182,1,16
CuVee,1,2.364275001451611,46.969696969696976,58.40151515151515,9,-12
Cuzz,1,3.5528013885329766,58.24175824175824,68.39010989010988,4,9
Deft,0,4.380041813735927,58.24175824175824,72.44395604395604,7,0
Effort,0,5.467244540756793,77.5,64.655,4,9
Faker,0,3.9910169169404752,70.47619047619048,60.14857142857143,4,9
Haru,1,4.166666666666667,25.0,84.075,4,9
Key,1,2.705817446462388,42.16867469879518,68.57951807228916,9,-12
Khan,1,3.5767525491849885,69.81132075471699,59.351886792452824,4,9
Kiin,0,2.703808817568103,44.56521739130435,58.78478260869565,5,6
Kingen,1,3.3676037909784045,45.945945945945944,58.04594594594594,8,-12
Kuzan,1,4.826086956521739,47.368421052631575,67.74736842105263,6,4
Lava,0,2.6372377622377625,34.09090909090909,72.8409090909091,9,-12
Lehends,1,6.302674865579562,69.31818181818181,68.46477272727272,9,-12
Mata,1,3.905413997456753,65.15151515151516,66.67121212121211,4,9
Peanut,1,3.1292039338530704,45.88235294117647,67.11647058823532,6,4
PraY,1,2.6998123827392124,36.36363636363637,58.60681818181819,8,-12
Rascal,1,2.875922907870342,58.24175824175824,58.77802197802198,6,4
Roach,1,4.012418904817007,44.827586206896555,60.05172413793103,4,9
Ruler,0,4.757776427749757,45.45454545454545,76.97045454545454,6,4
Sangyoon,1,4.0798076964631775,42.16867469879518,66.72409638554217,9,-12
Score,1,2.6414456588509063,34.92063492063492,70.86349206349206,8,-12
SeongHwan,1,2.4,33.33333333333333,60.6,6,4
Smeb,1,1.7666418744125252,24.489795918367346,56.93469387755103,8,-12
SoHwan,1,3.103253698173485,41.1764705882353,57.650000000000006,8,-12
Spirit,1,2.188125,28.57142857142857,75.59285714285714,5,6
Sword,0,3.6289486535008977,72.3076923076923,51.46923076923077,1,16
Teddy,0,7.75993381527073,69.81132075471699,64.0122641509434,4,9
Tempt,0,5.346229123798792,51.282051282051285,70.45897435897434,9,-12
Thal,1,2.825119642130026,42.857142857142854,62.89591836734695,9,-12
TusiN,1,3.762393151063468,58.24175824175824,69.63406593406593,8,-12
Ucal,1,2.963440652191559,46.478873239436616,64.84788732394367,1,16
UmTi,1,2.3502846043082037,30.434782608695652,67.00434782608696,8,-12
