LCK 2019 Summer Standings,,,,,,,
,Team,Series,,Games,,,Str
1,⁠⁠Griffin,13 - 5,72%,29 - 13,69%,16,5W
2,⁠⁠DAMWON Gaming,13 - 5,72%,28 - 16,64%,12,3W
3,⁠⁠SANDBOX Gaming,12 - 6,67%,27 - 18,60%,9,1L
4,⁠⁠SK Telecom T1,11 - 7,61%,26 - 17,60%,9,1W
5,⁠⁠Afreeca Freecs,11 - 7,61%,26 - 20,57%,6,2W
6,⁠⁠Gen.G,10 - 8,56%,24 - 20,55%,4,3L
7,⁠⁠Kingzone DragonX,9 - 9,50%,23 - 23,50%,0,2L
8,⁠⁠KT Rolster,6 - 12,33%,16 - 28,36%,-12,1W
9,⁠⁠Hanwha Life Esports,5 - 13,28%,15 - 27,36%,-12,2L
10,⁠⁠Jin Air Green Wings,0 - 18,0%,4 - 36,10%,-32,18L
